Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID
Crysencio Summerville,FW,nl Netherlands,24,2.8,2,2,0.71,FW,Forward,PL0522
Ivan Šunji?,MF,ba Bosnia–Herz,29,2.2,1,1,0.46,MF,Midfielder,PL0523
Yuito Suzuki,"FW,MF",jp Japan,24,0.1,0,0,0.0,FW,Forward,PL0524
Mattias Svanberg,MF,se Sweden,27,0.2,3,2,11.25,MF,Midfielder,PL0525
Alexander Sørloth,FW,no Norway,30,3.7,5,0,0.0,FW,Forward,PL0526
Musa Al-Taamari,FW,jo Jordan,29,2.4,8,3,1.26,FW,Forward,PL0527
Haris Tabakovi?,FW,ba Bosnia–Herz,31,0.2,0,0,0.0,FW,Forward,PL0528
Lee Tae-seok,MF,kr Korea Republic,23,1.3,0,0,0.0,MF,Midfielder,PL0529
Benjamin Tahirovic,MF,ba Bosnia–Herz,23,2.6,1,0,0.0,MF,Midfielder,PL0530
Chemsdine Talbi,MF,ma Morocco,21,2.0,2,0,0.0,MF,Midfielder,PL0531
Ao Tanaka,MF,jp Japan,27,2.1,2,0,0.0,MF,Midfielder,PL0532
Mehdi Taremi,FW,ir IR Iran,33,2.9,5,2,0.69,FW,Forward,PL0533
Aurélien Tchouaméni,MF,fr France,26,4.0,3,0,0.0,MF,Midfielder,PL0534
Igor Thiago,FW,br Brazil,24,0.7,2,1,1.48,FW,Forward,PL0535
Ryan Thomas,MF,nz New Zealand,31,0.9,0,0,0.0,MF,Midfielder,PL0536
Brandon Thomas-Asante,"FW,MF",gh Ghana,27,0.6,1,0,0.0,FW,Forward,PL0537
Morten Thorsby,MF,no Norway,30,0.5,0,0,0.0,MF,Midfielder,PL0538
Kristian Thorstvedt,MF,no Norway,27,0.7,3,1,1.43,MF,Midfielder,PL0539
Youri Tielemans,MF,be Belgium,29,5.3,11,3,0.57,MF,Midfielder,PL0540
Kieran Tierney,MF,sct Scotland,29,1.2,2,0,0.0,MF,Midfielder,PL0541
Guus Til,"FW,MF",nl Netherlands,28,0.4,0,0,0.0,FW,Forward,PL0542
Malik Tillman,MF,us USA,24,4.0,8,4,1.01,MF,Midfielder,PL0543
Quinten Timber,MF,nl Netherlands,24,0.6,0,0,0.0,MF,Midfielder,PL0544
Ivan Toney,FW,eng England,30,0.9,2,1,1.14,FW,Forward,PL0545
Mehdi Torabi,MF,ir IR Iran,31,0.3,0,0,0.0,MF,Midfielder,PL0546
Ferran Torres,FW,es Spain,26,3.2,14,4,1.25,FW,Forward,PL0547
Sebastian Tounekti,FW,tn Tunisia,23,0.9,0,0,0.0,FW,Forward,PL0548
Bazoumana Touré,MF,ci Côte d'Ivoire,20,0.9,0,0,0.0,MF,Midfielder,PL0549
Mo Touré,FW,au Australia,22,1.8,4,1,0.55,FW,Forward,PL0550
Trézéguet,MF,eg Egypt,31,1.8,8,3,1.65,MF,Midfielder,PL0551
Francisco Trincão,"FW,MF",pt Portugal,26,0.3,1,0,0.0,FW,Forward,PL0552
Leandro Trossard,"MF,FW",be Belgium,31,5.6,17,3,0.53,MF,Midfielder,PL0553
Ayase Ueda,FW,jp Japan,27,3.6,9,4,1.12,FW,Forward,PL0554
Manuel Ugarte,MF,uy Uruguay,25,2.0,3,1,0.49,MF,Midfielder,PL0555
Deniz Undav,FW,de Germany,29,1.7,6,4,2.38,FW,Forward,PL0556
Oston Urunov,MF,uz Uzbekistan,25,0.7,0,0,0.0,MF,Midfielder,PL0557
Can Uzun,MF,tr Türkiye,20,0.4,4,1,2.37,MF,Midfielder,PL0558
Enner Valencia,FW,ec Ecuador,36,3.2,10,6,1.88,FW,Forward,PL0559
Federico Valverde,MF,uy Uruguay,27,2.6,10,2,0.76,MF,Midfielder,PL0560
Hans Vanaken,MF,be Belgium,33,3.5,5,1,0.28,MF,Midfielder,PL0561
Hélio Varela,FW,cv Cabo Verde,24,1.2,3,1,0.87,FW,Forward,PL0562
Obed Vargas,MF,mx Mexico,20,0.7,1,1,1.36,MF,Midfielder,PL0563
Ruben Vargas,MF,ch Switzerland,27,3.2,6,4,1.27,MF,Midfielder,PL0564
Alexis Vega,"FW,MF",mx Mexico,28,0.1,0,0,0.0,FW,Forward,PL0565
Nishan Velupillay,MF,au Australia,25,0.8,0,0,0.0,MF,Midfielder,PL0566
Federico Viñas,FW,uy Uruguay,27,2.1,6,3,1.41,FW,Forward,PL0567
Denis Višinský,FW,cz Czechia,23,0.6,3,0,0.0,FW,Forward,PL0568
