Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID
Ben Old,MF,nz New Zealand,23,1.0,0,0,0.0,MF,Midfielder,PL0400
Michael Olise,MF,fr France,24,7.2,20,5,0.7,MF,Midfielder,PL0401
Dani Olmo,MF,es Spain,28,5.5,13,2,0.37,MF,Midfielder,PL0402
Tani Oluwaseyi,FW,ca Canada,26,2.9,8,4,1.39,FW,Forward,PL0403
Ali Olwan,MF,jo Jordan,26,3.0,6,3,1.01,MF,Midfielder,PL0404
Amadou Onana,MF,be Belgium,24,1.2,2,0,0.0,MF,Midfielder,PL0405
Jonathan Osorio,MF,ca Canada,34,0.1,1,0,0.0,MF,Midfielder,PL0406
Azzedine Ounahi,MF,ma Morocco,26,4.8,5,3,0.62,MF,Midfielder,PL0407
Elisha Owusu,MF,gh Ghana,28,1.7,0,0,0.0,MF,Midfielder,PL0408
Mikel Oyarzabal,FW,es Spain,29,6.7,23,12,1.8,FW,Forward,PL0409
Salih Özcan,MF,tr Türkiye,28,1.1,0,0,0.0,MF,Midfielder,PL0410
Kendry Páez,MF,ec Ecuador,19,0.1,0,0,0.0,MF,Midfielder,PL0411
Lucas Paquetá,MF,br Brazil,28,2.6,5,1,0.39,MF,Midfielder,PL0412
Leandro Paredes,MF,ar Argentina,31,5.3,4,1,0.19,MF,Midfielder,PL0413
Thomas Partey,MF,gh Ghana,33,3.0,2,0,0.0,MF,Midfielder,PL0414
Marco Pašali?,MF,hr Croatia,25,1.1,3,2,1.82,MF,Midfielder,PL0415
Mario Pašali?,MF,hr Croatia,31,1.4,4,1,0.73,MF,Midfielder,PL0416
Aleksandar Pavlovic,MF,de Germany,22,3.0,4,1,0.33,MF,Midfielder,PL0417
Nicolás Paz,MF,ar Argentina,21,0.8,1,0,0.0,MF,Midfielder,PL0418
Pedri,MF,es Spain,23,5.5,5,2,0.36,MF,Midfielder,PL0419
Nicolas Pépé,FW,ci Côte d'Ivoire,31,2.6,6,3,1.15,FW,Forward,PL0420
Ricardo Pepi,FW,us USA,23,2.3,5,0,0.0,FW,Forward,PL0421
Ivan Periši?,"MF,DF",hr Croatia,37,4.0,2,2,0.5,MF,Midfielder,PL0422
Frantzdy Pierrot,FW,ht Haiti,31,1.6,3,1,0.63,FW,Forward,PL0423
Kevin Pina,MF,cv Cabo Verde,29,3.9,5,1,0.26,MF,Midfielder,PL0424
Orbelín Pineda,"FW,MF",mx Mexico,30,0.3,1,0,0.0,FW,Forward,PL0425
Yéremy Pino,"FW,MF",es Spain,23,0.8,0,0,0.0,FW,Forward,PL0426
Isidro Pitta,FW,py Paraguay,26,0.5,0,0,0.0,FW,Forward,PL0427
Gonzalo Plata,FW,ec Ecuador,25,4.0,8,5,1.25,FW,Forward,PL0428
Ruben Providence,MF,ht Haiti,24,2.4,4,1,0.41,MF,Midfielder,PL0429
Lukáš Provod,FW,cz Czechia,29,1.4,1,0,0.0,FW,Forward,PL0430
Gustavo Puerta,MF,co Colombia,22,5.2,14,5,0.96,MF,Midfielder,PL0431
