Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
86,Rustam Ashurmatov,DF,uz Uzbekistan,29,1996,2.8,0,0,0,,0,0,,,0,0,Matches
87,Lawrence Ati-Zigi,GK,gh Ghana,29,1996,1.5,0,0,0,,0,0,,,0,0,Matches
88,Marwan Attia,MF,eg Egypt,27,1998,4.8,0,4,0,0,0.83,0,0,,0,0,Matches
89,Fredrik Aursnes,"MF,DF",no Norway,30,1995,3.4,0,2,0,0,0.59,0,0,,0,0,Matches
90,Gabriel Ávalos,FW,py Paraguay,35,1990,1.6,0,1,0,0,0.64,0,0,,0,0,Matches
91,Yasin Ayari,MF,se Sweden,22,2003,3.8,2,7,3,42.9,1.86,0.8,0.29,0.67,0,0,Matches
92,O?uz Ayd?n,DF,tr Türkiye,25,2000,1,0,0,0,,0,0,,,0,0,Matches
93,Jordan Ayew,FW,gh Ghana,34,1991,3.3,0,0,0,,0,0,,,0,0,Matches
94,Kaan Ayhan,"DF,MF",tr Türkiye,31,1994,0,1,1,1,100,30,30,1,1,0,0,Matches
95,Neil El Aynaoui,MF,ma Morocco,24,2001,6.2,0,7,2,28.6,1.12,0.32,0,0,0,0,Matches
96,Ali Azaizeh,MF,jo Jordan,22,2004,0.6,0,2,0,0,3.33,0,0,,0,0,Matches
97,Juninho Bacuna,MF,cw Curaçao,28,1997,2.8,0,5,1,20,1.77,0.35,0,0,0,0,Matches
98,Leandro Bacuna,MF,cw Curaçao,34,1991,3,0,6,1,16.7,2,0.33,0,0,0,0,Matches
99,Álex Baena,"MF,FW",es Spain,24,2001,5.3,1,12,5,41.7,2.25,0.94,0.08,0.2,0,0,Matches
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,2005,2.6,0,3,2,66.7,1.17,0.78,0,0,0,0,Matches
101,Cédric Bakambu,FW,cd Congo DR,35,1991,2.1,0,3,0,0,1.42,0,0,,0,0,Matches
102,Fabián Balbuena,DF,py Paraguay,34,1991,0,0,0,0,,0,0,,,0,0,Matches
103,Folarin Balogun,FW,us USA,24,2001,3.5,3,14,5,35.7,4.04,1.44,0.21,0.6,0,0,Matches
104,Simon Banza,"FW,MF",cd Congo DR,29,1996,0.4,0,0,0,,0,0,,,0,0,Matches
105,Yoel Bárcenas,MF,pa Panama,32,1993,2.8,0,2,0,0,0.72,0,0,,0,0,Matches
106,Valentín Barco,"DF,MF",ar Argentina,21,2004,0.2,0,0,0,,0,0,,,0,0,Matches
107,Bradley Barcola,MF,fr France,23,2002,4.3,3,10,5,50,2.34,1.17,0.3,0.6,0,0,Matches
108,Abdülkerim Bardakc?,DF,tr Türkiye,31,1994,2.9,0,3,1,33.3,1.02,0.34,0,0,0,0,Matches
109,Ivan Baši?,MF,ba Bosnia–Herz,24,2002,2,0,4,0,0,2.01,0,0,,0,0,Matches
110,Ahmed Basil,GK,iq Iraq,29,1996,1.5,0,0,0,,0,0,,,0,0,Matches
111,Martin Baturina,"MF,FW",hr Croatia,23,2003,3.6,1,3,1,33.3,0.84,0.28,0.33,1,0,0,Matches
112,Ibrahim Bayesh,"MF,FW",iq Iraq,26,2000,2.6,0,1,0,0,0.38,0,0,,0,0,Matches
113,Samed Baždar,FW,ba Bosnia–Herz,22,2004,0.3,0,0,0,,0,0,,,0,0,Matches
114,Riechedly Bazoer,DF,cw Curaçao,29,1996,1,0,0,0,,0,0,,,0,0,Matches
115,Patrick Beach,GK,au Australia,22,2003,4.3,0,0,0,,0,0,,,0,0,Matches
116,Aziz Behich,MF,au Australia,35,1990,2.4,0,1,1,100,0.41,0.41,0,0,0,0,Matches
117,Maximilian Beier,"FW,MF",de Germany,23,2002,0.3,0,0,0,,0,0,,,0,0,Matches
118,Alireza Beiranvand,GK,ir IR Iran,33,1992,3,0,0,0,,0,0,,,0,0,Matches
119,Zineddine Belaïd,DF,dz Algeria,27,1999,0.3,0,0,0,,0,0,,,0,0,Matches
120,Rafik Belghali,DF,dz Algeria,24,2002,3.7,1,3,1,33.3,0.82,0.27,0.33,1,0,0,Matches
121,Joe Bell,MF,nz New Zealand,27,1999,2.7,0,1,0,0,0.37,0,0,,0,0,Matches
122,Jean-Ricner Bellegarde,MF,ht Haiti,27,1998,2.9,0,6,0,0,2.08,0,0,,0,0,Matches
123,Jude Bellingham,MF,eng England,22,2003,6.8,7,19,13,68.4,2.79,1.91,0.37,0.54,0,0,Matches
124,Mortadha Ben Ouanes,"DF,MF",tn Tunisia,31,1994,0.3,0,0,0,,0,0,,,0,0,Matches
125,Anis Ben Slimane,"MF,FW",tn Tunisia,25,2001,2.7,0,1,1,100,0.37,0.37,0,0,0,0,Matches
126,Oussama Benbot,GK,dz Algeria,31,1994,1,0,0,0,,0,0,,,0,0,Matches
127,Nadhir Benbouali,FW,dz Algeria,26,2000,0.5,1,2,2,100,4,4,0.5,0.5,0,0,Matches
128,Gilson Benchimol,FW,cv Cabo Verde,24,2001,0.9,0,0,0,,0,0,,,0,0,Matches
129,Ramy Bensebaini,DF,dz Algeria,31,1995,4,0,2,0,0,0.5,0,0,,0,0,Matches
130,Nabil Bentaleb,MF,dz Algeria,31,1994,3.2,0,1,0,0,0.32,0,0,,0,0,Matches
131,Rodrigo Bentancur,MF,uy Uruguay,28,1997,3,0,4,0,0,1.33,0,0,,0,0,Matches
132,Patrick Berg,MF,no Norway,28,1997,4.9,0,3,0,0,0.61,0,0,,0,0,Matches
133,Sander Berge,MF,no Norway,28,1998,5.3,0,0,0,,0,0,,,0,0,Matches
134,Lucas Bergvall,MF,se Sweden,20,2006,2,0,2,0,0,0.99,0,0,,0,0,Matches
135,Sebastian Berhalter,MF,us USA,25,2001,2.1,1,3,1,33.3,1.44,0.48,0.33,1,0,0,Matches
136,Alexander Bernhardsson,MF,se Sweden,27,1998,2.4,0,1,1,100,0.41,0.41,0,0,0,0,Matches
137,Tyler Bindon,DF,nz New Zealand,21,2005,1.1,0,2,1,50,1.86,0.93,0,0,0,0,Matches
138,César Blackman,"MF,DF",pa Panama,28,1998,2,0,2,1,50,1.01,0.51,0,0,0,0,Matches
139,Damián Bobadilla,MF,py Paraguay,24,2001,2.1,0,0,0,,0,0,,,0,0,Matches
140,Oscar Bobb,FW,no Norway,22,2003,2.5,0,4,2,50,1.6,0.8,0,0,0,0,Matches
141,Moïse Bombito,DF,ca Canada,26,2000,2.1,0,1,1,100,0.47,0.47,0,0,0,0,Matches
142,Theo Bongonda,"FW,MF",cd Congo DR,30,1995,0.4,0,1,0,0,2.65,0,0,,0,0,Matches
143,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,2003,2.6,0,1,1,100,0.38,0.38,0,0,0,0,Matches
144,Jordy Bos,"MF,DF",au Australia,23,2002,3.4,0,5,2,40,1.46,0.58,0,0,0,0,Matches
145,Ayyoub Bouaddi,MF,ma Morocco,18,2007,4.2,0,3,0,0,0.71,0,0,,0,0,Matches
146,Hicham Boudaoui,MF,dz Algeria,26,1999,1.4,0,0,0,,0,0,,,0,0,Matches
147,Karim Boudiaf,MF,qa Qatar,35,1990,1.1,0,1,0,0,0.88,0,0,,0,0,Matches
148,Adil Boulbina,FW,dz Algeria,23,2003,0.2,0,0,0,,0,0,,,0,0,Matches
149,Yassine Bounou,GK,ma Morocco,35,1991,6.3,0,0,0,,0,0,,,0,0,Matches
150,Nawaf Boushal,DF,sa Saudi Arabia,26,1999,1,0,0,0,,0,0,,,0,0,Matches
151,Michael Boxall,DF,nz New Zealand,37,1988,2.3,0,0,0,,0,0,,,0,0,Matches
152,Sultan Al-Brake,DF,qa Qatar,30,1996,1.6,0,0,0,,0,0,,,0,0,Matches
153,Joshua Brenet,DF,cw Curaçao,32,1994,2,0,0,0,,0,0,,,0,0,Matches
154,Brian Brobbey,FW,nl Netherlands,24,2002,2.5,3,4,3,75,1.61,1.21,0.75,1,0,0,Matches
155,Dylan Bronn,DF,tn Tunisia,30,1995,0.5,0,0,0,,0,0,,,0,0,Matches
156,Nathaniel Brown,DF,de Germany,22,2003,3.1,1,3,2,66.7,0.96,0.64,0.33,0.5,0,0,Matches
157,Tajon Buchanan,MF,ca Canada,27,1999,4.2,0,6,3,50,1.44,0.72,0,0,0,0,Matches
158,Ante Budimir,FW,hr Croatia,34,1991,1.7,1,3,1,33.3,1.74,0.58,0.33,1,0,0,Matches
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26,2000,2.6,0,0,0,,0,0,,,0,0,Matches
160,Cameron Burgess,DF,au Australia,30,1995,1.5,0,0,0,,0,0,,,0,0,Matches
161,Dan Burn,DF,eng England,34,1992,0.4,0,0,0,,0,0,,,0,0,Matches
162,Dženis Burni?,MF,ba Bosnia–Herz,28,1998,0.2,0,1,0,0,5.63,0,0,,0,0,Matches
163,Gustavo Caballero,"FW,MF",py Paraguay,24,2001,1.1,0,1,1,100,0.94,0.94,0,0,0,0,Matches
164,Jovane Cabral,FW,cv Cabo Verde,28,1998,1.5,0,2,0,0,1.29,0,0,,0,0,Matches
165,Liberato Cacace,DF,nz New Zealand,25,2000,2.4,0,1,1,100,0.41,0.41,0,0,0,0,Matches
166,Juan Cáceres,DF,py Paraguay,26,2000,4.8,0,2,1,50,0.41,0.21,0,0,0,0,Matches
167,Sebastián Cáceres,DF,uy Uruguay,26,1999,3,0,3,0,0,1,0,0,,0,0,Matches
168,Jordy Caicedo,FW,ec Ecuador,28,1997,0.2,0,1,0,0,4.5,0,0,,0,0,Matches
169,Moisés Caicedo,MF,ec Ecuador,24,2001,4,0,4,1,25,1,0.25,0,0,0,0,Matches
170,U?urcan Çak?r,GK,tr Türkiye,30,1996,3,0,0,0,,0,0,,,0,0,Matches
171,Hakan Çalhano?lu,MF,tr Türkiye,32,1994,2,0,11,2,18.2,5.5,1,0,0,0,0,Matches
172,Lamine Camara,MF,sn Senegal,22,2004,2.8,0,3,0,0,1.09,0,0,,0,0,Matches
173,Jaminton Campaz,"FW,MF",co Colombia,26,2000,0.8,1,6,3,50,7.2,3.6,0.17,0.33,0,0,Matches
174,?rfan Can Kahveci,MF,tr Türkiye,30,1995,0,0,0,0,,0,0,,,0,0,Matches
175,José Canale,DF,py Paraguay,29,1996,1.8,0,0,0,,0,0,,,0,0,Matches
176,João Cancelo,DF,pt Portugal,32,1994,3.5,0,3,0,0,0.87,0,0,,0,0,Matches
177,Agustín Canobbio,FW,uy Uruguay,27,1998,2.5,1,4,1,25,1.61,0.4,0.25,1,0,0,Matches
178,Casemiro,MF,br Brazil,34,1992,4.2,1,4,2,50,0.95,0.47,0.25,0.5,0,0,Matches
179,Josué Casimir,MF,ht Haiti,24,2001,2,0,1,0,0,0.49,0,0,,0,0,Matches
180,Timothy Castagne,DF,be Belgium,30,1995,5.3,0,3,1,33.3,0.56,0.19,0,0,0,0,Matches
181,Kevin Castaño,MF,co Colombia,25,2000,0.2,0,0,0,,0,0,,,0,0,Matches
182,Jens Castrop,MF,kr Korea Republic,22,2003,0.5,0,0,0,,0,0,,,0,0,Matches
183,Zeki Çelik,DF,tr Türkiye,29,1997,1.8,0,1,1,100,0.55,0.55,0,0,0,0,Matches
184,Lukáš ?erv,MF,cz Czechia,25,2001,1.8,0,3,2,66.7,1.66,1.1,0,0,0,0,Matches
185,Fares Chaïbi,MF,dz Algeria,23,2002,4,0,9,3,33.3,2.25,0.75,0,0,0,0,Matches
186,Trevoh Chalobah,"DF,MF",eng England,26,1999,0,0,0,0,,0,0,,,0,0,Matches
187,Št?pán Chaloupek,DF,cz Czechia,23,2003,1,0,0,0,,0,0,,,0,0,Matches
188,Mouhib Chamakh,GK,tn Tunisia,24,2001,1,0,0,0,,0,0,,,0,0,Matches
189,Firas Chaouat,FW,tn Tunisia,30,1996,0.5,0,0,0,,0,0,,,0,0,Matches
190,Luis Chávez,MF,mx Mexico,30,1996,0.3,0,0,0,,0,0,,,0,0,Matches
191,Mateo Chávez,DF,mx Mexico,22,2004,0.9,1,1,1,100,1.17,1.17,1,1,0,0,Matches
192,Samir Chergui,DF,dz Algeria,27,1999,0.2,0,0,0,,0,0,,,0,0,Matches
193,Rayan Cherki,MF,fr France,22,2003,1.4,0,1,1,100,0.69,0.69,0,0,0,0,Matches
194,Mathieu Choinière,MF,ca Canada,27,1999,0.6,0,0,0,,0,0,,,0,0,Matches
195,Tahith Chong,MF,cw Curaçao,26,1999,2.7,0,4,2,50,1.46,0.73,0,0,0,0,Matches
196,Tomáš Chorý,FW,cz Czechia,31,1995,0.3,0,0,0,,0,0,,,0,0,Matches
197,Ryan Christie,MF,sct Scotland,31,1995,1.1,0,2,0,0,1.89,0,0,,0,0,Matches
198,Carney Chukwuemeka,MF,at Austria,22,2003,0.9,0,2,1,50,2.17,1.08,0,0,0,0,Matches
199,Mojmír Chytil,FW,cz Czechia,27,1999,0.1,0,0,0,,0,0,,,0,0,Matches
200,Brian Cipenga,"MF,FW",cd Congo DR,28,1998,1.6,1,6,1,16.7,3.7,0.62,0.17,1,0,0,Matches
201,Alessandro Circati,DF,au Australia,22,2003,4.3,0,3,0,0,0.69,0,0,,0,0,Matches
202,Pathé Ciss,DF,sn Senegal,32,1994,2,0,2,1,50,0.98,0.49,0,0,0,0,Matches
203,Livano Comenencia,MF,cw Curaçao,22,2004,2.6,1,5,2,40,1.93,0.77,0.2,0.5,0,0,Matches
204,Eray Cömert,DF,ch Switzerland,28,1998,0.3,0,0,0,,0,0,,,0,0,Matches
205,Francisco Conceição,MF,pt Portugal,23,2002,1.4,0,2,0,0,1.43,0,0,,0,0,Matches
206,Jhon Córdoba,FW,co Colombia,33,1993,1.1,0,2,1,50,1.82,0.91,0,0,0,0,Matches
207,José Córdoba,DF,pa Panama,25,2001,3,0,0,0,,0,0,,,0,0,Matches
208,Derek Cornelius,DF,ca Canada,28,1997,3.5,0,5,1,20,1.43,0.29,0,0,0,0,Matches
209,Diogo Costa,GK,pt Portugal,26,1999,5,0,0,0,,0,0,,,0,0,Matches
210,Nuno da Costa,FW,cv Cabo Verde,35,1991,1.8,0,1,0,0,0.57,0,0,,0,0,Matches
211,Samu Costa,MF,pt Portugal,25,2000,0.2,0,0,0,,0,0,,,0,0,Matches
212,Vladimír Coufal,"MF,DF",cz Czechia,33,1992,3,0,1,0,0,0.33,0,0,,0,0,Matches
213,Thibaut Courtois,GK,be Belgium,34,1992,6.1,0,0,0,,0,0,,,0,0,Matches
214,Maxime Crépeau,GK,ca Canada,32,1994,5,0,0,0,,0,0,,,0,0,Matches
215,Max Crocombe,GK,nz New Zealand,32,1993,3,0,0,0,,0,0,,,0,0,Matches
216,Pau Cubarsí,DF,es Spain,19,2007,8.3,0,4,2,50,0.48,0.24,0,0,0,0,Matches
217,Andrés Cubas,MF,py Paraguay,30,1996,5.3,0,1,0,0,0.19,0,0,,0,0,Matches
218,Cucho,"FW,MF",co Colombia,27,1999,0.6,0,1,0,0,1.8,0,0,,0,0,Matches
219,Marc Cucurella,DF,es Spain,27,1998,8.3,0,5,3,60,0.6,0.36,0,0,0,0,Matches
220,Matheus Cunha,FW,br Brazil,27,1999,3.2,3,11,5,45.5,3.41,1.55,0.27,0.6,0,0,Matches
221,Findlay Curtis,MF,sct Scotland,19,2006,0.1,0,0,0,,0,0,,,0,0,Matches
222,Aymen Dahmen,GK,tn Tunisia,29,1997,2,0,0,0,,0,0,,,0,0,Matches
223,Diogo Dalot,"DF,MF",pt Portugal,27,1999,0.7,0,1,0,0,1.38,0,0,,0,0,Matches
224,Danilo,DF,br Brazil,34,1991,4.5,0,1,0,0,0.22,0,0,,0,0,Matches
225,Kevin Danso,DF,at Austria,27,1998,2.7,0,1,0,0,0.37,0,0,,0,0,Matches
226,Vladimír Darida,MF,cz Czechia,35,1990,0.6,0,1,0,0,1.67,0,0,,0,0,Matches
227,Jonathan David,FW,ca Canada,26,2000,4.7,3,18,8,44.4,3.86,1.71,0.17,0.38,0,0,Matches
228,Promise David,FW,ca Canada,24,2001,0.9,1,5,3,60,5.63,3.38,0.2,0.33,0,0,Matches
229,Alphonso Davies,"DF,FW",ca Canada,25,2000,0.2,0,0,0,,0,0,,,0,0,Matches
230,Erick Davis,DF,pa Panama,35,1991,0,0,1,0,0,22.5,0,0,,0,0,Matches
231,Nasser Al-Dawsari,MF,sa Saudi Arabia,27,1998,2.3,0,1,0,0,0.43,0,0,,0,0,Matches
232,Salem Al-Dawsari,MF,sa Saudi Arabia,34,1991,2.7,0,3,0,0,1.1,0,0,,0,0,Matches
233,Mohammad Al-Dawud,"FW,MF",jo Jordan,34,1992,0,0,0,0,,0,0,,,0,0,Matches
234,Kevin De Bruyne,MF,be Belgium,34,1991,4.2,1,20,5,25,4.71,1.18,0.05,0.2,0,0,Matches
235,Maxim De Cuyper,DF,be Belgium,25,2000,4.9,0,10,6,60,2.04,1.22,0,0,0,0,Matches
236,Luc De Fougerolles,DF,ca Canada,20,2005,4.1,0,3,1,33.3,0.73,0.24,0,0,0,0,Matches
237,Charles De Ketelaere,"FW,MF",be Belgium,25,2001,3.9,3,6,5,83.3,1.54,1.29,0.5,0.6,0,0,Matches
238,Nicolás De La Cruz,MF,uy Uruguay,29,1997,1,0,4,2,50,4.19,2.09,0,0,0,0,Matches
239,Rodrigo De Paul,MF,ar Argentina,32,1994,5.5,0,2,1,50,0.37,0.18,0,0,0,0,Matches
240,Amar Dedi?,DF,ba Bosnia–Herz,23,2002,3,0,2,1,50,0.67,0.33,0,0,0,0,Matches
241,Louicius Deedson,MF,ht Haiti,25,2001,1.2,0,2,0,0,1.61,0,0,,0,0,Matches
242,Hannes Delcroix,DF,ht Haiti,27,1999,3,0,0,0,,0,0,,,0,0,Matches
243,Ousmane Dembélé,MF,fr France,29,1997,6.6,6,20,10,50,3.04,1.52,0.3,0.6,0,0,Matches
244,Merih Demiral,DF,tr Türkiye,28,1998,2,0,6,2,33.3,3,1,0,0,0,0,Matches
245,Ermedin Demirovi?,FW,ba Bosnia–Herz,28,1998,3.9,0,4,4,100,1.02,1.02,0,0,0,0,Matches
