Player,Pos,Squad,Age,90s,Sh,SoT,SoT/90,Primary_Position,Position_Group,Player_ID,IQR_Lower_Bound,IQR_Upper_Bound,Potential_Outlier
Otabek Shukurov,MF,uz Uzbekistan,29,2.6,2,0,0.0,MF,Midfielder,PL0498,-0.96,1.6,False
Kwasi Sibo,MF,gh Ghana,27,2.8,0,0,0.0,MF,Midfielder,PL0499,-0.96,1.6,False
Niko Sigur,MF,ca Canada,22,1.4,1,0,0.0,MF,Midfielder,PL0500,-0.96,1.6,False
Bernardo Silva,MF,pt Portugal,31,1.1,1,0,0.0,MF,Midfielder,PL0501,-0.96,1.6,False
Éderson Silva,MF,br Brazil,26,0.2,2,0,0.0,MF,Midfielder,PL0502,-0.96,1.6,False
Giuliano Simeone,FW,ar Argentina,23,2.1,1,0,0.0,FW,Forward,PL0503,-1.8824999999999998,3.1374999999999997,False
Dominique Simon,MF,ht Haiti,25,0.6,1,1,1.61,MF,Midfielder,PL0504,-0.96,1.6,True
Sarpreet Singh,MF,nz New Zealand,27,2.3,4,2,0.86,MF,Midfielder,PL0505,-0.96,1.6,False
Sphephelo Sithole,MF,za South Africa,27,2.5,0,0,0.0,MF,Midfielder,PL0506,-0.96,1.6,False
Ellyes Skhiri,"MF,DF",tn Tunisia,31,2.8,0,0,0.0,MF,Midfielder,PL0507,-0.96,1.6,False
Alexandr Sojka,"MF,DF",cz Czechia,23,1.6,0,0,0.0,MF,Midfielder,PL0508,-0.96,1.6,False
Ramón Sosa,"FW,MF",py Paraguay,26,0.1,0,0,0.0,FW,Forward,PL0509,-1.8824999999999998,3.1374999999999997,False
Tomáš Sou?ek,MF,cz Czechia,31,1.5,1,0,0.0,MF,Midfielder,PL0510,-0.96,1.6,False
Djibril Sow,MF,ch Switzerland,29,2.8,2,1,0.36,MF,Midfielder,PL0511,-0.96,1.6,False
Marko Stamenic,MF,nz New Zealand,24,3.0,3,0,0.0,MF,Midfielder,PL0512,-0.96,1.6,False
Angelo Stiller,MF,de Germany,25,0.5,0,0,0.0,MF,Midfielder,PL0513,-0.96,1.6,False
Jørgen Strand Larsen,FW,no Norway,26,1.2,2,1,0.86,FW,Forward,PL0514,-1.8824999999999998,3.1374999999999997,False
Elliot Stroud,MF,se Sweden,23,1.8,1,0,0.0,MF,Midfielder,PL0515,-0.96,1.6,False
Luis Suárez,FW,co Colombia,28,3.7,9,0,0.0,FW,Forward,PL0516,-1.8824999999999998,3.1374999999999997,False
Luka Su?i?,"FW,MF",hr Croatia,23,0.2,1,0,0.0,FW,Forward,PL0517,-1.8824999999999998,3.1374999999999997,False
Petar Su?i?,"MF,FW",hr Croatia,22,3.2,3,2,0.62,MF,Midfielder,PL0518,-0.96,1.6,False
Yukinari Sugawara,MF,jp Japan,25,1.6,2,2,1.22,MF,Midfielder,PL0519,-0.96,1.6,False
Pavel Šulc,FW,cz Czechia,25,2.1,2,0,0.0,FW,Forward,PL0520,-1.8824999999999998,3.1374999999999997,False
Kamaldeen Sulemana,"MF,FW",gh Ghana,24,1.4,1,0,0.0,MF,Midfielder,PL0521,-0.96,1.6,False
Crysencio Summerville,FW,nl Netherlands,24,2.8,2,2,0.71,FW,Forward,PL0522,-1.8824999999999998,3.1374999999999997,False
Ivan Šunji?,MF,ba Bosnia–Herz,29,2.2,1,1,0.46,MF,Midfielder,PL0523,-0.96,1.6,False
Yuito Suzuki,"FW,MF",jp Japan,24,0.1,0,0,0.0,FW,Forward,PL0524,-1.8824999999999998,3.1374999999999997,False
Mattias Svanberg,MF,se Sweden,27,0.2,3,2,11.25,MF,Midfielder,PL0525,-0.96,1.6,True
Alexander Sørloth,FW,no Norway,30,3.7,5,0,0.0,FW,Forward,PL0526,-1.8824999999999998,3.1374999999999997,False
Musa Al-Taamari,FW,jo Jordan,29,2.4,8,3,1.26,FW,Forward,PL0527,-1.8824999999999998,3.1374999999999997,False
Haris Tabakovi?,FW,ba Bosnia–Herz,31,0.2,0,0,0.0,FW,Forward,PL0528,-1.8824999999999998,3.1374999999999997,False
Lee Tae-seok,MF,kr Korea Republic,23,1.3,0,0,0.0,MF,Midfielder,PL0529,-0.96,1.6,False
Benjamin Tahirovic,MF,ba Bosnia–Herz,23,2.6,1,0,0.0,MF,Midfielder,PL0530,-0.96,1.6,False
